the,ðә
considerably,"kәn'sidәrәbli"
interval,"'intәvәl"
awake,"ә'weik"
commerce,"'kɒmә:s"
feminist,"'feminist"
inevitably,"in'evitәbli"
emotionally,"i'mәuʃәnәli"
jurisdiction,".dʒuәris'dikʃәn"
expedition,".ekspi'diʃәn"
similarity,".simi'læriti"
allegedly,"ә'ledʒidli"
butt,bʌt
lid,lid
dumb,dʌm
bulk,bʌlk
philosophical,".filә'sɒfikl"
mortality,"mɒ:'tælәti"
sprinkle,"'spriŋkl"
conversion,"kәn'vә:ʃәn"
patron,"'peitrәn"
municipal,"mju:'nisipl"
liver,"'livә"
harmony,"'hɑ:mәni"
tolerance,"'tɒlәrәns"
solely,"'sәulli"
blessing,"'blesiŋ"
goat,gәut
banana,"bә'nɑ:nә"
palace,"'pælis"
grandparent,"'grændperәnt"
peasant,"'peznt"
cruise,kru:z
supermarket,"'sju:pәmɑ:kit"
neat,ni:t
formerly,"'fɒ:mәli"
lawmaker,"lɒ:'meikә"
mobile,"'mәubil"
calendar,"'kælindә"
beard,biәd
widow,"'widәu"
deposit,"di'pɒzit"
brake,breik
screening,"'skri:niŋ"
impulse,"'impʌls"
brutal,"'bru:tәl"
forbid,"fә'bid"
predator,"'predәtә"
fur,fә:
voluntary,"'vɒlәntәri"
poke,pәuk
valid,"'vælid"
opt,ɒpt
forum,"'fɒ:rәm"
soar,sɒ:
happily,"'hæpili"
dancing,"'dænsiŋ"
enact,"i'nækt"
removal,"ri'mu:vl"
autonomy,"ɒ:'tɒnәmi"
thread,θred
landmark,"'lændmɑ:k"
unhappy,".ʌn'hæpi"
fraction,"'frækʃәn"
coming,"'kʌmiŋ"
tourism,"'tuәrizm"
offender,"ә'fendә"
distinctive,"di'stiŋktiv"
threshold,"'θreʃәuld"
suite,swi:t
regulator,"'regjuleitә"
straw,strɒ:
theological,"θiә'lɔdʒikәl"
fragile,"'frædʒail"
exhaust,"ig'zɒ:st"
globe,glәub
chemistry,"'kemistri"
objection,"әb'dʒekʃәn"
crowded,"'kraudid"
blast,blæst
prevail,"pri'veil"
overnight,"'әuvәnait"
denial,"di'naiәl"
fragment,"'frægmәnt"
headache,"'hedeik"
rental,"'rentl"
fantastic,"fæn'tæstik"
warmth,wɒ:mθ
screw,skru:
undergraduate,".ʌndә'grædjuit"
policeman,"pә'li:smәn"
projection,"prә'dʒekʃәn"
suitable,"'sju:tәbl"
graduation,".grædʒu'eiʃәn"
drill,dril
mansion,"'mænʃәn"
cruel,"'kru:әl"
sexuality,".sekʃu'æliti"
grape,greip
cottage,"'kɒtidʒ"
authorize,"'ɒ:θәraiz"
canyon,"'kænjәn"
charm,tʃɑ:m
driveway,"'draivwei"
loyal,"'lɒiәl"
clay,klei
invention,"in'venʃәn"
balloon,"bә'lu:n"
ego,"'egәu. 'i:gәu"
fare,fєә
availability,"ә.veilә'biliti"
homework,"'hәumwә:k"
disc,disk
radar,"'reidә"
prince,prins
sofa,"'sәufә"
regain,"ri'gein"
frown,fraun
molecule,"'mɒlikju:l"
retreat,"ri'tri:t"
sweater,"'swetә"
favorable,"'feivәrәbl"
rubber,"'rʌbә"
freely,"'fri:li"
rehabilitation,"'ri:(h)ә,bili'teiʃәn"
steadily,"'stedili"
youngster,"'jʌŋstә"
ha,hɑ:
accountability,"ә.kauntә'biliti"
integrated,"'intәgreitid"
premium,"'pri:miәm"
contemplate,"'kɒntempleit"
update,"ʌp'deit"
overwhelm,".әuvә'hwelm"
spark,spɑ:k
fatigue,"fә'ti:g"
speculate,"'spekjuleit"
marker,"'mɑ:kә"
bucket,"'bʌkit"
meantime,"'mi:ntaim"
preach,pri:tʃ
substantially,"sәb'stænʃәli"
blond,blɒnd
confession,"kәn'feʃәn"
marble,"'mɑ:bl"
defender,"di'fendә"
provoke,"prә'vәuk"
trauma,"'trɒ:mә"
surveillance,"sә:'veilәns"
explicit,"ik'splisit"
disturbing,"dis'tә:biŋ"
depart,"di'pɑ:t"
magnetic,"mæg'netik"
technician,"tek'niʃәn"
arrow,"'ærәu"
neighboring,"'neibәriŋ"
devastating,"'devәsteitiŋ"
soak,sәuk
transmit,"træns'mit"
mutter,"'mʌtә"
ribbon,"'ribәn"
harvest,"'hɑ:vist"
slot,slɒt
consecutive,"kәn'sekjutiv"
spy,spai
coordinate,"kәu'ɒ:dineit"
daddy,"'dædi"
riot,"'raiәt"
nutrient,"'nju:triәnt"
severely,"si'viәli"
citizenship,"'sitizәnʃip"
sovereignty,"'sɒvrәnti"
ridge,ridʒ
brave,breiv
lighting,"'laitiŋ"
frustrate,"'frʌstreit"
contributor,"kәn'tribjutә"
transit,"'trænsit"
specify,"'spesifai"
unidentified,".ʌnai'dentifaid"
seminar,"'seminɑ:"
electronics,".ilek'trɒniks"
dense,dens
articulate,"ɑ:'tikjulit"
sunny,"'sʌni"
swell,swel
shorts,ʃɔ:ts
soften,"'sɒftn"
accusation,"ækju:'zeiʃәn"
bride,braid
terribly,"'terәbli"
cue,kju:
biography,"bai'ɒgrәfi"
hazard,"'hæzәd"
straighten,"'streitn"
seldom,"'seldәm"
compelling,"kәm'peliŋ"
tile,tail
honestly,"'ɒnistli"
troubled,"'trʌbld"
economically,"i:kә'nɔmikәli"
vague,veig
zero,"'ziәrәu"
foreigner,"'fɒ:rinә"
balanced,"'bælәnst"
twentieth,"'twentiiθ"
delight,"di'lait"
convenience,"kә'vi:njәns"
weave,wi:v
plea,pli:
academy,"ә'kædәmi"
sustainable,"sә'steinәbl"
timber,"'timbә"
till,til
accurately,"'ækjurәtli"
bolt,bәult
bulb,bʌlb
flying,"'flaiiŋ"
skilled,"'skild"
spine,spain
cargo,"'kɑ:gәu"
managing,"'mænidʒiŋ"
devil,"'devәl"
seller,"'selә"
organized,"'ɔ:^әnaizd"
missionary,"'miʃәnәri"
dock,dɒk
fog,fɒg
sometime,"'sʌmtaim"
boring,"'bɒ:riŋ"
marine,"mә'ri:n"
summary,"'sʌmәri"
diplomat,"'diplәmæt"
epidemic,".epi'demik"
trim,trim
fatal,"'feitәl"
warehouse,"'wєәhaus"
butterfly,"'bʌtәflai"
inherent,"in'hiәrәnt"
accelerate,"әk'selәreit"
bronze,brɒnz
drown,draun
nationwide,"'neiʃәnwaid"
vacuum,"''vækjuәm"
creek,kri:k
selected,"si'lektid"
spit,spit
dictate,"'dikteit"
sensor,"'sensә"
stereotype,"'stiәriәtaip"
manual,"'mænjuәl"
kneel,ni:l
plaintiff,"'pleintif"
laundry,"'lɒ:ndri"
naval,"'neivl"
pistol,"'pistl"
apology,"ә'pɒlәdʒi"
bore,bɒ:
dean,di:n
beloved,"bi'lʌvd"
entertain,".entә'tein"
chopped,tʃɔpt
retrieve,"ri'tri:v"
tribute,"'tribju:t"
bomber,"'bɒmә"
overseas,"'әuvә'si:z"
smoking,"'smәukiŋ"
bizarre,"bi'zɑ:"
nominate,"'nɒmineit"
devise,"di'vaiz"
anchor,"'æŋkә"
bargain,"'bɑ:gin"
skeptical,"'skeptikәl"
scrutiny,"'skru:tini"
suppress,"sә'pres"
considering,"kәn'sidәriŋ"
brass,bræs.brɑ:s
unfortunate,".ʌn'fɒ:tʃәnit"
extract,"ik'strækt"
intensive,"in'tensiv"
tech,tek
betray,"bi'trei"
consistency,"kәn'sistәnsi"
bureaucracy,"bjuә'rɒkrәsi"
interactive,",intәr'æktiv"
clever,"'klevә"
developed,"di'velәpid"
loser,"'lu:zә"
challenging,"'tʃælindʒiŋ"
critique,"kri'ti:k"
skiing,"'ski:iŋ"
aboard,"ә'bɒ:d"
delicious,"di'liʃәs"
compassion,"kәm'pæʃәn"
reproduce,".ri:prә'dju:s"
congregation,".kɒŋgri'geiʃәn"
beneficial,".beni'fiʃәl"
awkward,"'ɒ:kwәd"
worm,wә:m
iranian,"i'reiniәn"
complication,".kɒmpli'keiʃәn"
marijuana,".mæriju'ɑ:nә"
legendary,"'ledʒәndәri"
militia,"mi'liʃә"
composer,"kәm'pәuzә"
authentic,"ɒ:'θentik"
concession,"kәn'seʃәn"
restoration,".restә'reiʃәn"
rejection,"ri'dʒekʃәn"
tenure,"'tenjuә"
dome,dәum
inadequate,"in'ædikwәt"
thief,θi:f
editorial,".edi'tɒ:riәl"
locker,"'lɒkә"
autumn,"'ɒ:tәm"
subsequently,"'sʌbsikwәntli"
merger,"'mә:dʒә"
faithful,"'feiθful"
haunt,hɒ:nt
crude,kru:d
sheriff,"'ʃerif"
evoke,"i'vәuk"
completion,"kәm'pli:ʃәn"
pal,pæl
trader,"'treidә"
affirmative,"ә'fә:mәtiv"
vein,vein
surrender,"sә'rendә"
scar,skɑ:
variance,"'vєәriәns"
surge,sә:dʒ
sailor,"'seilә"
inspect,"in'spekt"
commentary,"'kɒmәntәri"
follower,"'fɒlәuә"
suspension,"sә'spenʃәn"
imperial,"im'piәriәl"
compensate,"'kɒmpenseit"
ranking,"'ræŋkiŋ"
fuck,fʌk
hover,"'hʌvә"
making,"'meikiŋ"
fossil,"'fɒsәl"
stunning,"'stʌniŋ"
trout,traut
inappropriate,".inә'prәupriәt"
cowboy,"'kaubɒi"
latino,"læ'ti:nәu, lә-"
viable,"'vaiәbl"
clarify,"'klærifai"
sketch,sketʃ
countless,"'kauntlis"
copper,"'kɒpә"
chat,tʃæt
upcoming,"'ʌp.kʌmiŋ"
pupil,"'pju:pl"
ninth,nainθ
strive,straiv
neglect,"ni'glekt"
gambling,"'gæmbliŋ"
ward,wɒ:d
warfare,"'wɒ:fєә"
mound,maund
bang,bæŋ
tilt,tilt
rob,rɒb
reasonably,"'ri:znәbli"
medieval,".medi'i:vl"
advocacy,"'ædvәkәsi"
biologist,"bai'ɒlәdʒist"
monetary,"'mʌnitәri"
learner,"'lә:nә"
knot,nɒt
antibiotic,".æntibai'ɒtik"
prosperity,"prɒs'periti"
accumulate,"ә'kju:mjuleit"
dragon,"'drægәn"
creator,"kri:'eitә(r)"
electoral,"i'lektәrәl"
prosecute,"'prɒsikju:t"
intervene,".intә'vi:n"
glow,glәu
embody,"im'bɒdi"
dull,dʌl
rug,rʌg
raid,reid
crown,kraun
fake,feik
creep,kri:p
crab,kræb
satisfied,"'sætisfaiәd"
worthy,"'wә:ði"
hydrogen,"'haidrәdʒәn"
probability,".prɒbә'biliti"
farming,"'fɑ:miŋ"
vinegar,"'vinigә"
capitalism,"'kæpitәlizәm"
advisory,"әd'vaizәri"
organizer,"'ɒ:gәnaizә"
remedy,"'remidi"
inability,".inә'biliti"
smash,smæʃ
manuscript,"'mænjuskript"
morality,"mә'ræliti"
hopeful,"'hәupful"
disagreement,".disә'gri:mәnt"
fancy,"'fænsi"
mandatory,"'mændәtәri"
purely,"'pjuәli"
dive,daiv
advertise,"'ædvәtaiz"
soda,"'sәudә"
bass,bæs
lesser,"'lesә"
shiny,"'ʃaini"
memo,"'memәu"
junk,dʒʌŋk
stun,stʌn
devoted,"di'vәutid"
mature,"mә'tjuә"
manufacture,".mænju'fæktʃә"
poorly,"'puәli"
affection,"ә'fekʃәn"
warming,"'wɔ:miŋ"
stamp,stæmp
philosopher,"fi'lɒsәfә"
colored,"'kʌlәd"
clutch,klʌtʃ
silently,"'sailәntli"
breakdown,"'breikdaun"
conceal,"kәn'si:l"
monitoring,"'mɔnitәriŋ"
curl,kә:l
kidney,"'kidni"
nineteenth,".nain'ti:nθ"
goodness,"'gudnis"
healing,"'hi:liŋ"
remarkably,"ri'mɑ:kәbli"
literacy,"'litәrәsi"
taxi,"'tæksi"
destiny,"'destini"
geography,"dʒi'ɒgrәfi"
solo,"'sәulәu"
leak,li:k
greenhouse,"'gri:nhaus"
trillion,"'triljәn"
loving,"'lʌviŋ"
parliament,"'pɑ:lәmәnt"
expenditure,"ik'spenditʃә"
homicide,"'hɒmisaid"
australian,"ɒ'streiljәn"
herd,hә:d
passionate,"'pæʃәnit"
biblical,"'biblikәl"
addiction,"ә'dikʃәn"
probe,prәub
psychiatrist,"sai'kaiәtrist"
pipeline,"'paiplain"
hood,hud
atom,"'ætәm"
baking,"'beikiŋ"
snack,snæk
ending,"'endiŋ"
charming,"'tʃɑ:miŋ"
migrant,"'maigrәnt"
competence,"'kɒmpitәns"
supplement,"'sʌplimәnt"
ink,iŋk
distress,"di'stres"
homeowner,"'hәum.әunә"
adaptation,".ædæp'teiʃәn"
imagery,"'imidʒәri"
pledge,pledʒ
infect,"in'fekt"
paradigm,"'pærәdaim"
backward,"'bækwәd"
appetite,"'æpitait"
hierarchy,"'haiәrɑ:ki"
offend,"ә'fend"
reconstruction,".ri:kәn'strʌkʃәn"
sympathetic,".simpә'θetik"
hostility,"hɒs'tiliti"
condom,"'kɒndәm"
temporarily,"'tempәrәrәli"
spectator,"spek'teitә"
litigation,".liti'geiʃәn"
comet,"'kɒmit"
bleed,bli:d
cocktail,"'kɒkteil"
choke,tʃәuk
ensemble,"ɒn'sɒŋblә"
pesticide,"'pestisaid"
pea,pi:
delegate,"'deligeit"
preservation,".prezә'veiʃәn"
rotation,"rәu'teiʃәn"
cautious,"'kɒ:ʃәs"
tremble,"'trembl"
prejudice,"'predʒudis"
certificate,"sә'tifikeit"
designate,"'dezigneit"
robe,rәub
abruptly,"ә'brʌptli"
mercy,"'mә:si"
cult,kʌlt
classmate,"'klɑ:smeit"
nursing,"'nә:siŋ"
motel,"mәu'tel"
hatred,"'heitrid"
diameter,"dai'æmitә"
enlist,"in'list"
acute,"ә'kju:t"
predecessor,".predi'sesә"
induce,"in'dju:s"
rookie,"'ruki"
disclosure,"dis'klәuʒә"
juvenile,"'dʒu:vinail"
gown,gaun
notably,"'nәjtbәli"
correlate,"'kɒrәleit"
halt,hɒ:lt
persistent,"pә'sistәnt"
humanitarian,"hju:.mæni'tєәriәn"
torture,"'tɒ:tʃә"
exile,"'eksail"
chorus,"'kɒ:rәs"
roar,rɒ:
architectural,".ɑ:ki'tektʃәrәl"
comic,"'kɒmik"
revive,"ri'vaiv"
fountain,"'fauntin"
revenge,"ri'vendʒ"
sour,"'sauә"
unclear,".ʌn'kliә"
endangered,"in'deindʒәd"
reside,"ri'zaid"
empirical,"em'pirikәl"
caution,"'kɒ:ʃәn"
originate,"ә'ridʒineit"
lure,luә
compile,"kәm'pail"
nationally,"'næʃәnәli"
erupt,"i'rʌpt"
loom,lu:m
notable,"'nәutәbl"
witch,witʃ
endorsement,"in'dɒ:smәnt"
dusty,"'dʌsti"
cane,kein
fortunate,"'fɒ:tʃәnit"
rap,ræp
forge,fɒ:dʒ
surgical,"'sә:dʒikl"
aging,"'eidʒiŋ"
disrupt,"dis'rʌpt"
breakthrough,"'breikθru:"
established,"is'tæbliʃt"
odor,"'әudә"
slim,slim
desirable,"di'zairәbl"
remains,"ri'meins"
lobbyist,"'lɔbiist"
alert,"ә'lә:t"
allege,"ә'ledʒ"
avenue,"'ævәnju:"
countryside,"'kʌntrisaid"
hut,hʌt
attain,"ә'tein"
sixteen,"'siks'ti:n"
holding,"'hәuldiŋ"
dinosaur,"'dainәsɒ:"
excite,"ik'sait"
urgent,"'ә:dʒәnt"
choir,"'kwaiә"
pronounce,"prә'nauns"
banner,"'bænә"
insider,"'in'saidә"
rising,"'raiziŋ"
confine,"kәn'fain"
assertion,"ә'sә:ʃәn"
orthodox,"'ɒ:θәdɒks"
underground,"'ʌndәgraund"
outbreak,"'autbreik"
strand,strænd
payroll,"'peirәul"
freshly,"'freʃli"
orchestra,"'ɒ:kistrә"
grim,grim
winning,"'winiŋ"
bead,bi:d
profitable,"'prɒfitәbl"
drought,draut
uphold,"ʌp'hәuld"
commentator,"'kɔmenteitә"
hazardous,"'hæzәdәs"
confirmation,".kɒnfә'meiʃәn"
believer,"bi'li:vә"
wireless,"'waiәlis"
merge,mә:dʒ
shaft,ʃæft
theft,θeft
convenient,"kәn'vi:njәnt"
accommodation,"ә.kɒmә'deiʃәn"
frog,frɒg
grind,graind
elected,"i'lektid"
vanilla,"vә'nilә"
prescribe,"pris'kraib"
lone,lәun
registration,".redʒi'streiʃәn"
shotgun,"'ʃɒtgʌn"
courtesy,"'kә:tisi"
graphic,"'græfik"
subway,"'sʌbwei"
circulation,".sә:kju'leiʃәn"
transplant,"træns'plɑ:nt"
explosive,"ik'splәusiv"
illuminate,"i'lju:mineit"
venue,"'venju:"
congressman,"'kɒŋgresmәn"
nazi,"'nɑ:tsi"
penetrate,"'penitreit"
evolutionary,",i:vә'lu:ʃәnәri"
canal,"kә'næl"
grill,gril
unnecessary,".ʌn'nesәsәri"
innocence,"'inәsәns"
parameter,"pә'ræmitә"
flaw,flɒ:
champagne,"ʃæm'pein"
optimism,"'ɒptimizm"
skinny,"'skini"
regression,"ri'greʃәn"
posture,"'pɒstʃә"
demon,"'di:mәn"
systematic,".sisti'mætik"
inclusion,"in'kluʒәn"
viking,"'vaikiŋ"
reassure,".ri:ә'ʃuә"
resulting,"ri'zʌltiŋ"
pope,pәup
rehearsal,"ri'hә:sl"
invoke,"in'vәuk"
correspond,".kɒri'spɒnd"
discard,"dis'kɑ:d"
revival,"ri'vaivl"
tub,tʌb
restraint,"ri'streint"
sunni,"'suni:"
prospective,"prәs'pektiv"
theirs,ðєәz
murderer,"'mә:dәrә"
tin,tin
abundance,"ә'bʌndәns"
duration,"dju'reiʃәn"
despair,"di'spєә"
proposition,".prɒpә'ziʃәn"
lime,laim
attendant,"ә'tendәnt"
fulfill,"ful'fil"
ethnicity,"eθ'nisәti"
successor,"sәk'sesә"
assassination,"ә.sæsi'neiʃәn"
handling,"'hændliŋ"
geographic,",dʒiә'^ræfik"
strawberry,"'strɒ:bәri"
atomic,"ә'tɒmik"
crying,"'kraiiŋ"
holder,"'hәuldә"
portable,"'pɒ:tәbl"
guerrilla,"gә'rilә"
clarity,"'klærәti"
environmentalist,"in,vaiәrәn'mentlist"
verse,vә:s
moisture,"'mɒistʃә"
trophy,"'trәufi"
parenting,"'pεәrәntiŋ"
ironic,"aiә'rɔnik"
contradiction,".kɒntrә'dikʃәn"
rattle,"'rætl"
shatter,"'ʃætә"
descent,"di'sent"
startle,"'stɑ:tl"
widen,"'waidn"
gorgeous,"'gɒ:dʒәs"
tease,ti:z
waiter,"'weitә"
gospel,"'gɒspәl"
separately,"'sepәrәtli"
vow,vau
semester,"si'mestә"
precision,"pri'siʒәn"
downstairs,"'daun'stєәz"
cutting,"'kʌtiŋ"
rigid,"'ridʒid"
jam,dʒæm
hometown,"hәum'taun"
tumble,tʌmbl
backup,"'bækʌp"
detector,"di'tektә"
psychiatric,"saiki'ætrik; (?@) si-"
grid,grid
eighteen,"'ei'ti:n"
rotate,"'rәuteit"
recount,"ri'kaunt"
spotlight,"'spɒtlait"
settler,"'setlә"
polite,"pә'lait"
magnificent,"mæg'nifisnt"
scrape,skreip
contrary,"'kɒntrәri"
superintendent,",sju:pәrin'tendәnt"
optical,"'ɒptikl"
fourteen,"'fɒ:'ti:n"
ambulance,"'æmbjulәns"
prey,prei
audit,"'ɒ:dit"
bump,bʌmp
peculiar,"pi'kju:ljә"
sadness,"'sædnis"
supporting,"sә'pɔ:tiŋ"
enthusiastic,"in.θju:zi'æstik"
continually,"kәn'tinjuәli"
firefighter,ˈfaɪəfaɪtə(r)
applicant,"'æplikәnt"
supper,"'sʌpә"
egyptian,"i'dʒipʃәn"
absent,"'æbsәnt"
injured,"'indʒәd"
modem,"'mәudem"
salvation,"sæl'veiʃә"
conceptual,"kәn'septʃuәl"
modification,".mɒdifi'keiʃәn"
namely,"'neimli"
visa,"'vi:zә"
renew,"ri'nju:"
overhead,"'әuvәhed"
goose,gu:s
fireplace,"'faiәpleis"
peach,pi:tʃ
summarize,"'sʌmәraiz"
nurture,"'nә:tʃә"
caribbean,".kæri'bi:әn"
frighten,"'fraitn"
formally,"'fɒ:mәli"
vivid,"'vivid"
frightening,"'fraitәniŋ"
keyboard,"'ki:bɒ:d"
poison,"'pɒizn"
communist,"'kɒmjunist"
tenant,"'tenәnt"
furious,"'fjuәriәs"
undoubtedly,"ʌn'dajtidli"
repeated,"ri'pi:tid"
rocky,"'rɒki"
omit,"әu'mit"
ruler,"'ru:lә"
noble,"'nәubl"
spider,"'spaidә"
turkish,"'tә:kiʃ"
obsession,"әb'seʃәn"
corpse,kɒ:ps
certainty,"'sә:tәnti"
problematic,"prɔblә'mætik"
damp,dæmp
nutrition,"nju:'triʃәn"
vocabulary,"vә'kæbjulәri"
melody,"'melәdi"
electron,"i'lektrɒn"
distinguished,"dis'tiŋgwiʃt"
physicist,"'fizisist"
wool,wul
utterly,"'ʌtәli"
maple,"'meipl"
memoir,"'memwɑ:"
salesman,"'seilzmәn"
cultivate,"'kʌltiveit"
luxury,"'lʌkʃәri"
microphone,"'maikrәfәun"
goodbye,"gud'bai"
realization,".riәlai'zeiʃәn"
disposal,"dis'pәuzәl"
meadow,"'medәu"
cherry,"'tʃeri"
defy,"di'fai"
magical,"'mædʒikәl"
plug,plʌg
wallet,"'wɒlit"
mining,"'mainiŋ"
accordingly,"ә'kɒ:diŋli"
lamb,læm
socialist,"'sәuʃәlist"
tempt,tempt
fundamentally,"fʌndә'mentәli"
scrap,skræp
declaration,".deklә'reiʃәn"
inject,"in'dʒekt"
axis,"'æksis"
applause,"ә'plɒ:z"
suitcase,"'sju:tkeis"
evenly,"'i:vәnli"
dual,"'dju:әl"
supervise,"'sju:pәvaiz"
precede,".pri:'si:d"
triangle,"'traiæŋgl"
shield,"'ʃi:ld"
aspiration,".æspә'reiʃәn"
financing,"fai'nænsiŋ"
inclined,"in'klaind"
newcomer,"nju:'kʌmә"
fried,fraid
substitute,"'sʌbstitju:t"
supervision,".sju:pә'viʒәn"
calcium,"'kælsiәm"
quantum,"'kwɒntәm"
con,kɒn
picnic,"'piknik"
gravel,"'grævәl"
textile,"'tekstail"
visiting,"'vizitiŋ"
precedent,"'presidәnt"
nationalism,"'næʃәnәlizm"
eternal,"i'tә:nl"
indictment,"in'daitmәnt"
interpreter,"in'tә:pritә"
planned,plænd
calf,kɑ:f
nursery,"'nә:sәri"
collision,"kә'liʒәn"
verify,"'verifai"
encompass,"in'kʌmpәs"
clan,klæn
boxing,"'bɒksiŋ"
diplomacy,"di'plәumәsi"
mat,mæt
spice,spais
faction,"'fækʃәn"
sixty,"'siksti"
skillet,"'skilit"
immense,"i'mens"
confused,"kәn'fju:zd"
hop,hɒp
thirteen,"'θә:'ti:n"
bitch,bitʃ
ashamed,"ә'ʃeimd"
afterwards,"'ɑ:ftәwәdz"
instrumental,".instru'mentәl"
independently,".indi'pendәntli"
aftermath,"'ɑ:ftәmæθ"
astronaut,"'æstrәnɒ:t"
useless,"'ju:slis"
reproduction,".ri:prә'dʌkʃәn"
crust,krʌst
gasp,gæsp
altar,"'ɒ:ltә"
flu,flu:
embarrassing,"im'bærәsiŋ"
umbrella,"ʌm'brelә"
millennium,"mi'leniәm"
mosquito,"mә'ski:tәu"
unconscious,".ʌn'kɒnʃәs"
listing,"'listiŋ"
intimacy,"'intimәsi"
guardian,"'gɑ:diәn"
obey,"ә'bei"
divert,"dai'vә:t"
thoughtful,"'θɒ:tful"
vine,vain
permanently,"'p\\:mәntli"
shocked,ʃɔkt
simulation,".simju'leiʃәn"
methodology,".meθә'dɒlәdʒi"
passive,"'pæsiv"
awaken,"ә'weikәn"
outrage,"'autreidʒ"
monopoly,"mә'nɒpәli"
loudly,"'laudli"
nun,nʌn
attachment,"ә'tʃætʃmәnt"
broth,brɒθ
summon,"'sʌmәn"
optional,"'ɒpʃәnl"
miner,"'mainә"
aloud,"ә'laud"
dangle,"'dæŋgl"
cigar,"si'gɑ:"
delegation,".deli'geiʃәn"
breed,bri:d
haven,"'heivn"
mobility,"mәu'biliti"
assurance,"ә'ʃuәrәns"
jerk,dʒә:k
mob,mɒb
weep,wi:p
consultation,".kɒnsәl'teiʃәn"
liquor,"'likә"
dioxide,"dai'ɒksaid"
accountable,"ә'kauntәbl"
affirm,"ә'fә:m"
sip,sip
sadly,"'sædli"
span,spæn
emergence,"i'mә:dʒәns"
lifelong,"'laiflɒŋ"
linger,"'liŋgә"
applaud,"ә'plɒ:d"
stabilize,"'steibilaiz"
cube,kju:b
harbor,"'hɑ:bә"
swiss,swis
fax,fæks
underneath,".ʌndә'ni:θ"
embassy,"'embәsi"
preacher,"'pri:tʃә"
dim,dim
injection,"in'dʒekʃәn"
facial,"'feiʃәl"
plantation,"plæn'teiʃәn"
predictable,"pri'diktәbl"
sunset,"'sʌnset"
presume,"pri'zu:m"
excess,"ik'ses"
proponent,"prә'pәunәnt"
constituent,"kәn'stitjuәnt"
vietnamese,"'vjetnә'mi:z"
antique,"æn'ti:k"
polish,"'pɒliʃ"
dairy,"'dєәri"
gardener,"'gɑ:dәnә"
sweeping,"'swi:piŋ"
saudi,"'sajdi"
manipulation,"mә.nipju'leiʃәn"
wit,wit
skate,skeit
fabulous,"'fæbjulәs"
legitimacy,"li'dʒitimәsi"
intersection,".intә'sekʃәn"
curse,kә:s
resignation,".rezig'neiʃәn"
"ma'am","mæm, mɑ:m, mәm"
reconciliation,",rekәnsili'eiʃәn"
deed,di:d
impairment,"im'peәmәnt"
miserable,"'mizәrәbl"
closure,"'klәuʒә"
machinery,"mә'ʃi:nәri"
lively,"'laivli"
erase,"i'reis"
terminal,"'tә:minәl"
shave,ʃeiv
coaching,"'kәutʃiŋ"
irrelevant,"i'relәvәnt"
foolish,"'fu:liʃ"
armor,"'ɑ:mә"
frightened,"'frait(ә)nd"
neatly,"'ni:tli"
ignorance,"'ignәrәns"
wetland,"'wetlænd"
skier,"'ski:ә"
reverend,"'revәrәnd"
playground,"'pleigraund"
embarrassment,"im'bærәsmәnt"
amateur,"'æmәtә"
cellular,"'seljulә"
competent,"'kɒmpitәnt"
primitive,"'primitiv"
balcony,"'bælkәni"
brow,brau
mosque,mɒsk
linear,"'liniә"
closing,"'klәuziŋ"
excellence,"'ekslәns"
reasoning,"'ri:zniŋ"
recycle,".ri:'saikl"
par,pɑ:
worship,"'wә:ʃip"
harmful,"'hɑ:mful"
ant,ænt
coincidence,"kәu'insidәns"
resentment,"ri'zentmәnt"
dependence,"di'pendәns"
feminine,"'feminin"
justification,".dʒʌstifi'keiʃәn"
tuition,"tju:'iʃәn"
destructive,"di'strʌktiv"
governmental,".gʌvәn'mentl"
repetition,".repi'tiʃәn"
niche,nitʃ
inexpensive,".inik'spensiv"
sleeping,"'sli:piŋ"
courtyard,"'kɒ:tjɑ:d"
dividend,"'dividend"
terrify,"'terifai"
revise,"ri'vaiz"
bark,bɑ:k
fascinate,"'fæsineit"
stab,stæb
generator,"'dʒenәreitә"
cafe,"kɑ:'fei"
propaganda,".prɒpә'gændә"
parallel,"'pærәlel"
underscore,".ʌndә'skɒ:"
formulate,"'fɒ:mjuleit"
castle,"'kæsl. 'kɑ:sl"
prop,prɒp
microwave,"'maikrәuweiv"
incidence,"'insidәns"
technically,"'teknikli"
fulfil,"ful'fil"
corrupt,"kә'rʌpt"
specimen,"'spesimәn"
thorough,"'θʌrә"
obscure,"әb'skjuә"
wan,wɒn
monk,mʌŋk
spectacle,"'spektәkl"
thrill,θril
heroin,"'herәuin"
outlook,"'autluk"
reproductive,".ri:prә'dʌktiv"
bout,baut
recreation,".rekri'eiʃәn"
setup,"'setʌp"
spatial,"'speiʃәl"
sniff,snif
cleanup,"'kli:nʌp"
matrix,"'meitriks"
printer,"'printә"
runway,"'rʌnwei"
cone,kәun
locally,"'lәukәli"
stroll,strәul
nitrogen,"'naitrәdʒәn"
integral,"'intigrәl"
respective,"ri'spektiv"
transparent,"træns'pærәnt"
rebound,"ri'baund"
lineup,"'lainʌp"
saying,"'seiiŋ"
circulate,"'sә:kjuleit"
forecast,"'fɒ:kɑ:st"
classification,".klæsifi'keiʃәn"
endeavor,"in'devә"
easter,"'i:stә"
